document_title_introduced,section_heading_count_delta,spatial_landmark_count_delta,textual_label_count_delta,paragraph_count_delta,list_count_delta,section_count_delta,section_coverage_ratio,section_order_match,landmark_count_delta,id
0,0,2,0,2,-7,0,1.0,0,2,01
1,1,3,1,1,4,1,1.0,0,3,02
1,1,0,0,1,0,1,1.0,0,0,03
1,3,0,3,1,18,3,3.0,0,0,04
1,2,0,0,3,0,2,2.0,0,0,05
1,2,0,0,2,0,2,2.0,0,0,06
1,3,2,0,2,6,3,3.0,0,2,07
1,3,3,0,5,5,3,3.0,0,3,08
1,3,0,0,2,5,3,3.0,0,0,09
1,3,0,3,3,11,3,3.0,0,0,10
1,4,0,0,6,9,4,4.0,0,0,11
1,1,0,0,1,4,1,1.0,0,0,12
1,2,0,0,5,0,2,2.0,0,0,13
1,3,2,2,6,0,3,3.0,0,2,14
1,3,0,0,6,3,3,3.0,0,0,15
1,3,0,0,3,10,3,3.0,0,0,16
1,2,0,0,3,0,2,2.0,0,0,17
1,2,3,2,4,0,2,2.0,0,3,18
1,2,0,0,5,3,2,2.0,0,0,19
1,1,0,0,1,0,1,1.0,0,0,20
1,3,2,3,5,5,3,3.0,0,2,21
1,2,2,2,5,5,2,2.0,0,2,22
1,2,3,2,3,9,2,2.0,0,3,23
1,3,2,0,3,0,3,3.0,0,2,24
1,2,3,3,9,2,2,2.0,0,3,25
1,2,3,3,5,0,2,2.0,0,3,26
1,1,0,0,1,3,1,1.0,0,0,27
1,1,0,0,1,8,1,1.0,0,0,28
1,2,0,0,2,3,2,2.0,0,0,29
1,1,0,0,2,0,1,1.0,0,0,30
1,2,2,0,7,6,2,2.0,0,2,31
1,2,0,4,4,8,2,2.0,0,0,32
1,2,0,3,4,3,2,2.0,0,0,33
1,1,2,0,4,0,1,1.0,0,2,34
1,3,2,2,4,7,3,3.0,0,2,35
1,2,3,3,5,2,2,2.0,0,3,36
1,1,0,0,3,0,1,1.0,0,0,37
1,2,0,2,2,4,2,2.0,0,0,38
1,1,0,0,2,0,1,1.0,0,0,39
1,2,5,5,0,24,2,2.0,0,5,40
1,1,0,0,3,0,1,1.0,0,0,41
1,2,2,4,8,10,2,2.0,0,2,42
1,1,0,4,5,2,1,1.0,0,0,43
1,1,0,1,2,0,1,1.0,0,0,44
1,2,0,2,4,10,2,2.0,0,0,45
1,1,0,6,0,11,1,1.0,0,0,46
1,2,2,2,7,2,2,2.0,0,2,47
1,2,3,2,5,0,2,2.0,0,3,48
1,1,0,3,4,0,1,1.0,0,0,49
1,2,0,0,2,6,2,2.0,0,0,50
1,1,3,3,0,13,1,1.0,0,3,51
1,0,0,0,0,0,0,0.0,1,0,52
1,1,2,0,2,8,1,1.0,0,2,53
